City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
311,Bonavista,CA,48.6499,-53.1147,48.54,74,7,21.25,clear sky
312,Vila Do Maio,CV,15.1333,-23.2167,79.59,73,100,12.97,overcast clouds
313,Asau,RO,46.4333,26.4,38.32,91,0,3.53,clear sky
314,Hofn,IS,64.2539,-15.2082,43.9,88,100,20.11,overcast clouds
315,San Patricio,US,28.017,-97.5169,75.06,65,86,9.22,overcast clouds
316,Ibra,OM,22.6906,58.5334,69.15,51,0,2.77,clear sky
317,Esperance,AU,-33.8667,121.9,60.64,74,79,16.84,broken clouds
318,Togul,RU,53.465,85.9128,32.61,99,100,6.73,light snow
319,Tigil,RU,57.8,158.6667,22.98,92,100,3.36,overcast clouds
320,Altay,CN,47.8667,88.1167,29.88,67,100,4.7,overcast clouds
321,Yarmouth,US,41.7057,-70.2286,60.96,95,100,5.99,overcast clouds
322,Coahuayana,MX,18.7333,-103.6833,75.11,89,1,1.66,clear sky
323,Antalaha,MG,-14.9003,50.2788,69.42,84,3,5.12,light rain
324,Yining,CN,29.0361,114.5636,65.3,60,6,4.32,clear sky
325,Urengoy,RU,65.9667,78.3667,23.97,89,100,17.69,overcast clouds
326,Hasaki,JP,35.7333,140.8333,64.29,69,100,10.18,moderate rain
327,Casas Grandes,MX,30.3667,-107.95,56.44,34,1,1.66,clear sky
328,Skjervoy,NO,70.0311,20.9714,35.6,85,100,8.84,overcast clouds
329,Jinxiang,CN,27.4327,120.6062,66.4,73,100,15.68,overcast clouds
330,Duku,NG,11.2361,4.9073,74.39,33,0,6.29,clear sky
331,Koshurnikovo,RU,54.1667,93.3,27.09,57,100,2.44,overcast clouds
332,Camacha,PT,33.0833,-16.3333,65.62,94,40,2.3,scattered clouds
333,Wanning,CN,18.8003,110.3967,72.16,64,100,14.9,overcast clouds
334,Orizatlan,MX,21.1833,-98.6167,73.36,85,81,1.1,broken clouds
335,La Ronge,CA,55.1001,-105.2842,34.05,55,75,6.91,broken clouds
336,Takoradi,GH,4.8845,-1.7554,78.76,84,96,4.23,overcast clouds
337,Forestville,US,38.8451,-76.875,60.64,96,40,0.0,light rain
338,Kargil,IN,34.5667,76.1,30.92,74,87,6.24,overcast clouds
339,Kahului,US,20.8947,-156.47,87.82,69,0,20.71,clear sky
340,Neiafu,TO,-18.65,-173.9833,81.28,83,75,6.91,broken clouds
341,Awjilah,LY,29.1081,21.2869,62.17,65,0,10.67,clear sky
342,Faya,SA,18.3851,42.4509,53.71,61,5,2.46,clear sky
343,Wamba,NG,8.9333,8.6,72.59,42,100,3.94,overcast clouds
344,Mirnyy,RU,62.5353,113.9611,8.24,84,57,4.0,broken clouds
345,Yulara,AU,-25.2406,130.9889,64.11,34,0,21.27,clear sky
